name,url,category
Ibexa DXP,https://www.ibexa.co/,Tool
IBM,https://www.ibm.com/,Tool
IBM Db2,https://ibm.com/db2,Tool
IBM Enterprise Content Management,http://www.ibm.com/software/data/,Tool
IBM mainframes,https://www.ibm.com/it-infrastructure/z,Tool
Identity Digital,https://identity.digital/,Tool
Ikiwiki,http://ikiwiki.info,Tool
Infomaniak,http://infomaniak.com,Tool
INRIA,https://www.inria.fr/en,Tool
Intaver Institute,http://www.intaver.com/,Tool
IPM,http://www.ipm.ac.ir,Tool
IronPython,https://ironpython.net,Tool
ISBN,https://isbn-international.org/,Tool
ISPConfig,http://ispconfig.org,Tool
Jahia,http://jahia.com,Tool
Jamroom,https://www.jamroom.net,Tool
JED,https://www.jedsoft.org/jed/,Tool
Jenkins,https://www.jenkins.io/,Tool
jGRASP,http://www.jgrasp.org/,Tool
Jimdo,https://www.jimdo.com/,Tool
JOE,http://joe-editor.sourceforge.net,Tool
Joomla!,https://www.joomla.org,Tool
JPRS,https://jprs.co.jp/en/,Tool
Kakoune,https://kakoune.org/,Tool
Kate,https://kate-editor.org/,Tool
KDE,https://kde.org/,Tool
KDevelop,https://www.kdevelop.org/,Tool
Kile,http://kile.sourceforge.io,Tool
KISA,http://www.kisa.or.kr/eng/main.jsp,Tool
Kloxo,http://www.kloxo.org/,Tool
Known,https://withknown.com/,Tool
Komodo IDE,https://www.komodoide.com,Tool
Kubernetes,https://kubernetes.io/,Tool
LaTeX,https://www.latex-project.org,Tool
Launchpad,https://launchpad.net,Tool
Lazarus,https://www.lazarus-ide.org,Tool
Leo,https://leo-editor.github.io/leo-editor/,Tool
Liberty BASIC,http://libertybasic.com,Tool
LibreOffice,http://www.libreoffice.org/,Tool
LibreOffice Online,https://libreoffice.org,Tool
LibreOffice Writer,http://libreoffice.org/discover/writer,Tool
LibrePlan,https://www.libreplan.dev/,Tool
License,https://license-token.com/,Tool
Light Table,http://lighttable.com/,Tool
LiquidPlanner,http://liquidplanner.com,Tool
LispWorks,http://lispworks.com,Tool
LLVM,https://www.llvm.org,Tool
LogicalDOC,https://www.logicaldoc.com,Tool
Lucee,http://lucee.org,Tool
LXDE,https://www.lxde.org/,Tool
Maemo,https://maemo.org,Tool
Magento,https://magento-opensource.com/,Tool
Magnolia,https://www.magnolia-cms.com,Tool
MantisBT,https://www.mantisbt.org/,Tool
MariaDB,https://mariadb.com/,Tool
MATE,https://mate-desktop.org,Tool
MediaWiki,https://www.mediawiki.org,Tool
Mercurial,https://www.mercurial-scm.org,Tool
Meridian Systems,http://www.meridiansystems.com/,Tool
Metabase,https://www.metabase.com/,Tool
Microsoft,https://www.microsoft.com/,Tool
Microsoft 365,https://m365.cloud.microsoft,Tool
Microsoft Azure,https://azure.microsoft.com/,Tool
Microsoft Azure SQL,https://azure.microsoft.com/en-us/products/azure-sql/,Tool
Microsoft Dynamics AX,https://www.microsoft.com/en-us/dynamics-365,Tool
Microsoft Excel,https://www.microsoft.com/en/microsoft-365/excel,Tool
Microsoft Office,https://www.office.com/,Tool
Microsoft Office Project Server,https://blogs.office.com/2016/03/16/project-server-2016-rtm-is-now-available/,Tool
Microsoft Power BI,https://powerbi.microsoft.com/,Tool
Microsoft Project,http://www.microsoft.com/en-us/microsoft-365/project/project-management-software,Tool
Microsoft SharePoint Server,https://www.microsoft.com/microsoft-365/sharepoint/collaboration,Tool
Microsoft Small Basic,https://smallbasic-publicwebsite.azurewebsites.net/,Tool
Microsoft Team Foundation Server,https://azure.microsoft.com/en-us/services/devops/server/,Tool
Microsoft Visual Studio,https://visualstudio.microsoft.com/,Tool
Microsoft Windows,https://windows.com,Tool
MicroStrategy,https://www.microstrategy.com/,Tool
Microweber,https://www.microweber.com/,Tool
Midgard CMS,http://www.midgard-project.org/,Tool
MinEd,http://mined.github.io,Tool
mod_perl,https://perl.apache.org/,Tool
mojoPortal,http://www.mojoportal.com/,Tool
Monday.com,https://monday.com/,Tool
MongoDB,http://mongodb.com,Tool
Mono,https://www.mono-project.com,Tool
MonoDevelop,http://www.monodevelop.com,Tool
MorphOS,http://www.morphos-team.net,Tool
Movable Type,http://movabletype.org/,Tool
Mozilla,https://www.mozilla.org/,Tool
Mozilla Public License,https://www.mozilla.org/MPL,Tool
Mule (software),https://www.mulesoft.com,Tool
Mustache,http://mustache.github.io,Tool
MyEclipse,http://www.myeclipseide.com,Tool
MySQL,https://www.mysql.com/,Tool
Name.com,https://name.com,Tool
Namecheap,http://www.namecheap.com,Tool
NameSilo,https://www.namesilo.com/,Tool
NearlyFreeSpeech,https://www.nearlyfreespeech.net/,Tool
NeoOffice,https://neooffice.github.io/,Tool
NetBeans C/C++ pack,https://netbeans.apache.org,Tool
NetBSD,https://www.NetBSD.org,Tool
Netlify,https://www.netlify.com/,Tool
